type, threadCount, insertCount, time
ConcurrentHashTable,48,460000,0.258507
ConcurrentQueue,48,470000,4.48803
LockCoupling,48,470000,6.81692
ConcurrentList,48,470000,3.34006
ConcurrentHashTable,48,470000,0.256095
ConcurrentQueue,48,480000,4.53797
LockCoupling,48,480000,6.98746
ConcurrentList,48,480000,3.36146
ConcurrentHashTable,48,480000,0.261526
ConcurrentQueue,12,10000,0.023793
LockCoupling,12,10000,0.0366631
ConcurrentList,12,10000,0.0175571
ConcurrentHashTable,12,10000,0.00254107
ConcurrentQueue,12,20000,0.0476379
LockCoupling,12,20000,0.0701199
ConcurrentList,12,20000,0.035027
ConcurrentHashTable,12,20000,0.00437212
ConcurrentQueue,12,30000,0.0716
LockCoupling,12,30000,0.102323
ConcurrentList,12,30000,0.0533431
ConcurrentHashTable,12,30000,0.00750399
ConcurrentQueue,12,40000,0.095871
LockCoupling,12,40000,0.135591
ConcurrentList,12,40000,0.0708921
ConcurrentHashTable,12,40000,0.011184
ConcurrentQueue,12,50000,0.12007
LockCoupling,12,50000,0.169747
ConcurrentList,12,50000,0.0882671
ConcurrentHashTable,12,50000,0.0149591
ConcurrentQueue,12,60000,0.144753
LockCoupling,12,60000,0.20133
ConcurrentList,12,60000,0.104772
ConcurrentHashTable,12,60000,0.01454
ConcurrentQueue,12,70000,0.168508
LockCoupling,12,70000,0.233584
ConcurrentList,12,70000,0.122952
ConcurrentHashTable,12,70000,0.0175459
ConcurrentQueue,12,80000,0.193491
LockCoupling,12,80000,0.266169
ConcurrentList,12,80000,0.139695
ConcurrentHashTable,12,80000,0.0213521
ConcurrentQueue,12,90000,0.217023
LockCoupling,12,90000,0.298996
ConcurrentList,12,90000,0.157983
ConcurrentHashTable,12,90000,0.021796
ConcurrentQueue,12,100000,0.241781
LockCoupling,12,100000,0.330993
ConcurrentList,12,100000,0.175624
ConcurrentHashTable,12,100000,0.024338
ConcurrentQueue,12,110000,0.265734
LockCoupling,12,110000,0.364133
ConcurrentList,12,110000,0.192265
ConcurrentHashTable,12,110000,0.0263631
ConcurrentQueue,12,120000,0.289078
LockCoupling,12,120000,0.396488
ConcurrentList,12,120000,0.209688
ConcurrentHashTable,12,120000,0.0284081
ConcurrentQueue,48,10000,0.09726
LockCoupling,48,10000,0.143488
ConcurrentList,48,10000,0.0710139
ConcurrentHashTable,48,10000,0.01069
ConcurrentQueue,48,20000,0.193117
LockCoupling,48,20000,0.276109
ConcurrentList,48,20000,0.139703
ConcurrentHashTable,48,20000,0.0193629
ConcurrentQueue,48,30000,0.291598
LockCoupling,48,30000,0.407955
ConcurrentList,48,30000,0.21094
ConcurrentHashTable,48,30000,0.0263498
ConcurrentQueue,48,40000,0.389605
LockCoupling,48,40000,0.540526
ConcurrentList,48,40000,0.279901
ConcurrentHashTable,48,40000,0.035928
ConcurrentQueue,48,50000,0.485619
LockCoupling,48,50000,0.6704
ConcurrentList,48,50000,0.349619
ConcurrentHashTable,48,50000,0.0428441
ConcurrentQueue,48,60000,0.583707
LockCoupling,48,60000,0.805248
ConcurrentList,48,60000,0.416805
ConcurrentHashTable,48,60000,0.0513849
ConcurrentQueue,48,70000,0.682112
LockCoupling,48,70000,0.935834
ConcurrentList,48,70000,0.488157
ConcurrentHashTable,48,70000,0.0602269
ConcurrentQueue,48,80000,0.779089
LockCoupling,48,80000,1.06728
ConcurrentList,48,80000,0.556104
ConcurrentHashTable,48,80000,0.0663071
ConcurrentQueue,48,90000,0.8741
LockCoupling,48,90000,1.19639
ConcurrentList,48,90000,0.626318
ConcurrentHashTable,48,90000,0.0745058
ConcurrentQueue,48,100000,0.981164
LockCoupling,48,100000,1.32781
ConcurrentList,48,100000,0.694304
ConcurrentHashTable,48,100000,0.083549
ConcurrentQueue,48,110000,1.07265
LockCoupling,48,110000,1.46353
ConcurrentList,48,110000,0.764751
ConcurrentHashTable,48,110000,0.093291
ConcurrentQueue,48,120000,1.169
LockCoupling,48,120000,1.59703
ConcurrentList,48,120000,0.833656
ConcurrentHashTable,48,120000,0.0973079
ConcurrentQueue,48,130000,1.27345
LockCoupling,48,130000,1.72877
ConcurrentList,48,130000,0.902999
ConcurrentHashTable,48,130000,0.106752
ConcurrentQueue,48,140000,1.36738
LockCoupling,48,140000,1.85879
ConcurrentList,48,140000,0.976893
ConcurrentHashTable,48,140000,0.112421
ConcurrentQueue,48,150000,1.45659
LockCoupling,48,150000,1.99877
ConcurrentList,48,150000,1.04101
ConcurrentHashTable,48,150000,0.120257
ConcurrentQueue,48,160000,1.55416
LockCoupling,48,160000,2.12658
ConcurrentList,48,160000,1.11185
ConcurrentHashTable,48,160000,0.130256
ConcurrentQueue,48,170000,1.65199
LockCoupling,48,170000,2.25775
ConcurrentList,48,170000,1.18251
ConcurrentHashTable,48,170000,0.141006
ConcurrentQueue,48,180000,1.75032
LockCoupling,48,180000,2.39545
ConcurrentList,48,180000,1.24927
ConcurrentHashTable,48,180000,0.146304
ConcurrentQueue,48,190000,1.84537
LockCoupling,48,190000,2.52785
ConcurrentList,48,190000,1.3188
ConcurrentHashTable,48,190000,0.153927
ConcurrentQueue,48,200000,1.9491
LockCoupling,48,200000,2.65274
ConcurrentList,48,200000,1.39092
ConcurrentHashTable,48,200000,0.165082
ConcurrentQueue,48,210000,2.04989
LockCoupling,48,210000,2.77943
ConcurrentList,48,210000,1.46127
ConcurrentHashTable,48,210000,0.169055
ConcurrentQueue,48,220000,2.14235
LockCoupling,48,220000,2.92332
ConcurrentList,48,220000,1.53043
ConcurrentHashTable,48,220000,0.176419
ConcurrentQueue,48,230000,2.23205
LockCoupling,48,230000,3.04886
ConcurrentList,48,230000,1.60226
ConcurrentHashTable,48,230000,0.186914
ConcurrentQueue,48,240000,2.42637
LockCoupling,48,240000,3.17771
ConcurrentList,48,240000,1.66899
ConcurrentHashTable,48,240000,0.197429
ConcurrentQueue,48,250000,2.44467
LockCoupling,48,250000,3.6904
