type,threadCount,insertCount,time,treshold
LockCounter,41,41000000,3.63595,0
LockCounter,42,42000000,3.72451,0
LockCounter,43,43000000,3.80398,0
LockCounter,44,44000000,3.89519,0
LockCounter,45,45000000,3.98374,0
LockCounter,46,46000000,4.0739,0
LockCounter,47,47000000,4.16047,0
LockCounter,48,48000000,4.25186,0
ApproximateCounter,1,1000000,0.022897,1024
ApproximateCounter,2,2000000,0.174882,1024
ApproximateCounter,3,3000000,0.186634,1024
ApproximateCounter,4,4000000,0.224419,1024
ApproximateCounter,5,5000000,0.279607,1024
ApproximateCounter,6,6000000,0.289989,1024
ApproximateCounter,7,7000000,0.337457,1024
ApproximateCounter,8,8000000,0.34025,1024
ApproximateCounter,9,9000000,0.351611,1024
ApproximateCounter,10,10000000,0.365973,1024
ApproximateCounter,11,11000000,0.372728,1024
ApproximateCounter,12,12000000,0.392398,1024
ApproximateCounter,13,13000000,0.383335,1024
ApproximateCounter,14,14000000,0.444905,1024
ApproximateCounter,15,15000000,0.472177,1024
ApproximateCounter,16,16000000,0.503314,1024
ApproximateCounter,17,17000000,0.501783,1024
ApproximateCounter,18,18000000,0.494029,1024
ApproximateCounter,19,19000000,0.48889,1024
ApproximateCounter,20,20000000,0.496894,1024
ApproximateCounter,21,21000000,0.547675,1024
ApproximateCounter,22,22000000,0.540224,1024
ApproximateCounter,23,23000000,0.570195,1024
ApproximateCounter,24,24000000,0.570918,1024
ApproximateCounter,25,25000000,0.567973,1024
ApproximateCounter,26,26000000,0.55716,1024
ApproximateCounter,27,27000000,0.601256,1024
ApproximateCounter,28,28000000,0.580121,1024
ApproximateCounter,29,29000000,0.621943,1024
ApproximateCounter,30,30000000,0.62663,1024
ApproximateCounter,31,31000000,0.613275,1024
ApproximateCounter,32,32000000,0.624675,1024
ApproximateCounter,33,33000000,0.652685,1024
ApproximateCounter,34,34000000,0.6753,1024
ApproximateCounter,35,35000000,0.629754,1024
ApproximateCounter,36,36000000,0.63602,1024
ApproximateCounter,37,37000000,0.660053,1024
ApproximateCounter,38,38000000,0.681169,1024
ApproximateCounter,39,39000000,0.637999,1024
ApproximateCounter,40,40000000,0.641226,1024
ApproximateCounter,41,41000000,0.651424,1024
ApproximateCounter,42,42000000,0.688307,1024
ApproximateCounter,43,43000000,0.670359,1024
ApproximateCounter,44,44000000,0.669512,1024
ApproximateCounter,45,45000000,0.708504,1024
ApproximateCounter,46,46000000,0.680301,1024
ApproximateCounter,47,47000000,0.692704,1024
ApproximateCounter,48,48000000,0.703638,1024
ApproximateCounter,48,48000000,4.41678,2
ApproximateCounter,48,48000000,2.78494,4
ApproximateCounter,48,48000000,1.71078,8
ApproximateCounter,48,48000000,1.14534,16
ApproximateCounter,48,48000000,0.97115,32
