type, threadCount, insertCount, time, threshold
LockCounter,18,18000000,1.64181,0
ApproximateCounter,18,18000000,0.52574,1024
LockCounter,19,19000000,1.73178,0
ApproximateCounter,19,19000000,0.532495,1024
LockCounter,20,20000000,1.81511,0
ApproximateCounter,20,20000000,0.545661,1024
LockCounter,21,21000000,1.8986,0
ApproximateCounter,21,21000000,0.579042,1024
LockCounter,22,22000000,1.99484,0
ApproximateCounter,22,22000000,0.603247,1024
LockCounter,23,23000000,2.04986,0
ApproximateCounter,23,23000000,0.588463,1024
LockCounter,24,24000000,2.13859,0
ApproximateCounter,24,24000000,0.582228,1024
LockCounter,25,25000000,2.22644,0
ApproximateCounter,25,25000000,0.591206,1024
LockCounter,26,26000000,2.31343,0
ApproximateCounter,26,26000000,0.630157,1024
LockCounter,27,27000000,2.40366,0
ApproximateCounter,27,27000000,0.65566,1024
LockCounter,28,28000000,2.49227,0
ApproximateCounter,28,28000000,0.620716,1024
LockCounter,29,29000000,2.58769,0
ApproximateCounter,29,29000000,0.674088,1024
LockCounter,30,30000000,2.6704,0
ApproximateCounter,30,30000000,0.646499,1024
LockCounter,31,31000000,2.76263,0
ApproximateCounter,31,31000000,0.645698,1024
LockCounter,32,32000000,2.85856,0
ApproximateCounter,32,32000000,0.661787,1024
LockCounter,33,33000000,2.94173,0
ApproximateCounter,33,33000000,0.700688,1024
LockCounter,34,34000000,3.03323,0
ApproximateCounter,34,34000000,0.693336,1024
LockCounter,35,35000000,3.12348,0
ApproximateCounter,35,35000000,0.733093,1024
LockCounter,36,36000000,3.21527,0
ApproximateCounter,36,36000000,0.720895,1024
LockCounter,37,37000000,3.30529,0
ApproximateCounter,37,37000000,0.739623,1024
LockCounter,38,38000000,3.4006,0
ApproximateCounter,38,38000000,0.732943,1024
LockCounter,39,39000000,3.48564,0
ApproximateCounter,39,39000000,0.760396,1024
LockCounter,40,40000000,3.5766,0
ApproximateCounter,40,40000000,0.773416,1024
LockCounter,41,41000000,3.66844,0
ApproximateCounter,41,41000000,0.761082,1024
LockCounter,42,42000000,3.75077,0
ApproximateCounter,42,42000000,0.754376,1024
LockCounter,43,43000000,3.84065,0
ApproximateCounter,43,43000000,0.770683,1024
LockCounter,44,44000000,3.92134,0
ApproximateCounter,44,44000000,0.823886,1024
LockCounter,45,45000000,4.01873,0
ApproximateCounter,45,45000000,0.793655,1024
LockCounter,46,46000000,4.10897,0
ApproximateCounter,46,46000000,0.796472,1024
LockCounter,47,47000000,4.19363,0
ApproximateCounter,47,47000000,0.818388,1024
LockCounter,48,48000000,4.28625,0
ApproximateCounter,48,48000000,0.837042,1024
LockCounter,1,1000000,0.0206561,0
ApproximateCounter,1,1000000,0.022855,1024
LockCounter,2,2000000,0.0842061,0
ApproximateCounter,2,2000000,0.159364,1024
LockCounter,3,3000000,0.149732,0
ApproximateCounter,3,3000000,0.185049,1024
LockCounter,4,4000000,0.227699,0
ApproximateCounter,4,4000000,0.226598,1024
LockCounter,5,5000000,0.336516,0
ApproximateCounter,5,5000000,0.265231,1024
LockCounter,6,6000000,0.446461,0
ApproximateCounter,6,6000000,0.3096,1024
LockCounter,7,7000000,0.548112,0
